Name,Faction,Supertype,Type,Subtypes,Text,Font_Size,Name_Font_Size,Unique,Cost,Power,Break,Presence1,Presence2,Ammo,front,back,Art,Illustrator,X_pos,Y_pos,zoom,starter_id,Set,Number,Flavor
Card Catalog,Ghost,,Asset,,"When your turn begins, you may discard a card from your hand. If you do, draw a card.",0.9,,,,,,,,,,,ItemsCards_42_b.png,REXARD,,400%,105%,,c1,1,The Eternal Court’s long imprisonment gave them ample time to organize their archives.
Haunted Barrel,Ghost,,Asset,Curse,"When this asset enters play, choose a cannon. It gets -1 power.",,,,,,,,,,,,ItemsCards_43_b.png,REXARD,,,105%,,c1,2,“I can’t explain it. The powder must be damp or something…”
Leaky Kegs,Ghost,,Asset,Curse,"When your turn begins, your opponent loses 1(P).",,,TRUE,,,,,,,,,SGI_73.png,REXARD,,-45%,,,c1,3,Maybe someone’s stealing it from the engine room. Maybe it’s just disappearing into thin air.
Mortal Frailty,Ghost,,Asset,Curse,"When this asset enters play, choose a crew. It gets -2 presence. 

When the chosen crew leaves play, return this asset to its captain's hand.",,,,,,,,,,,,SGI_30.PNG,REXARD,,,,,c1,4,
King Adarath,Ghost,,Captain,,"Whenever you raid or repel, you may spend 1(P) to put a crew from your discard pile into play facedown as a 2/2 Shade crew, in reserve.",0.8,,,,,,,,,,,FantasyCardsPack_049.png,REXARD,,,,,c1,5,
Queen Valii,Ghost,,Captain,,"Whenever you breach, you may spend 1(P) to put a crew discarded by the damage into play facedown as a 2/2 Shade crew under your control.",0.8,,,,,,,,,,,FantasyCardsPack_035.PNG,REXARD,,,,,c1,6,
Adarath's Hound,Ghost,,Crew,,"Whenever this crew boards, choose a crew the defending player controls. It cannot be committed to the defending party.",,,,,,,2,2,,,,FantasyCardsPack_002.png,REXARD,,-47%,,,c1,7,
Breathstealer,Ghost,,Crew,,"**(T):** Choose a crew in your opponent’s party. Until the attempt ends, that crew gets -2 presence and is discarded if its presence is 0.",,,,,,,2,1,,,,FantasyCardsPack_024.png,REXARD,,,,,c1,8,
Court Jester,Ghost,,Crew,,"When this crew enters play, choose one. Your opponent chooses the other:

* Gain 2(P).
* Draw two cards.",,,,,,,2,3,,,,FantasyCardsPack_006.png,REXARD,,-94%,,,c1,9,
Eldeghast,Ghost,,Crew,,This crew cannot be stowed from play.,,,TRUE,,,,1,1,,,,Tex_skeleton_bg.png,REXARD,,,,,c1,10,"He served the Eternal Court when the world was young, and its ending did not shake his loyalty."
Imposing Spectre,Ghost,,Crew,Shade,"As long as you control a Curse, your opponent must spend 1(P) more to board.",,,,,,,1,3,,,,FantasyCardsPack_019.png,REXARD,,,,,c1,11,You should have never come this far.
Peekaboo,Ghost,Tactic,Crew,Shade,"*(Play only during a boarding attempt).*

Whenever this crew raids, choose an asset the defending player controls. Turn it facedown and it becomes a 2/2 Shade crew.",,,,,,,2,2,,,,imp.png,REXARD,,,,,c1,12,
Phantom Duelist,Ghost,,Crew,Shade,"Whenever you play a Tactic card or use a Tactic effect, if this crew is in your party, it gets +1 presence until the attempt ends.",,,,,,,2,2,,,,Tex_ghost_bg.png,REXARD,,,,,c1,13,
Restless Dead,Ghost,,Crew,,"**(T):** While defending, deal 1 damage to the boarding player and **pass**. Use any number of times per attempt.",,,,,,,1,3,,,,FantasyCardsPack_022.PNG,REXARD,,,,,c1,14,
Seneschal Kaine,Ghost,,Crew,Shade,"Reveal a Ghost card from your hand as an additional cost to play this crew.

When this crew enters play, you may play a maneuver from your discard pile. If you do, eject that card after it resolves.",,,TRUE,,,,1,2,,,,Ghost.png,REXARD,,,,,c1,15,
Valii's Conduit,Ghost,,Crew,,"When this crew enters play, all cannons get +1 cost until your next turn begins.",,,,,,,4,0,,,,FantasyCardsPack_020.PNG,REXARD,,,,,c1,16,The arcane fields that power their weapons have a dampening effect on lesser technologies.
Arc Caster,Ghost,,Emplacement,Cannon,**(A):** Swap this cannon's cost and power until the turn ends.,,,,3,2,3,,,,,,G_Arc Caster.jpg,Trevor Gannicott,,100%,,,c1,17,These spectres have forgotten more about weaponcraft than we will ever know.
Coilgun,Ghost,,Emplacement,Cannon,"Whenever this cannon unstuns, deal 1 damage to your opponent.",,,,2,2,2,,,,,,G_Coilgun.jpg,Trevor Gannicott,,70%,,,c1,18,"Fiendish potential, forever crackling."
Coldsteel Plating,Ghost,,Emplacement,Structure,"*React -* Whenever you are dealt damage, reduce it by 1 and put a counter on this structure.

This structure gets -1 durability for each counter on it. When it has 0 durability, break it.",,,,,,5,,,,,,ice_hut.png,REXARD,,,,,c1,19,
Ectoplasmic Lens,Ghost,,Emplacement,Structure,"**(A), return a crew you control to its captain’s hand:** Draw a card, then discard a card from your hand. Use only once each turn.

When this structure breaks, search your Hold for a Curse, reveal it, and put it into your hand.",0.8,,,,,3,,,,,,LootCard_116.png,REXARD,,-190%,108%,,c1,20,
Geistlaser,Ghost,,Emplacement,Cannon,"**(A), discard X crew you control:** Put X counters on this cannon.

This cannon gets +1 power for each counter on it.",,,,8,0,5,,,,,,G_Geistlaser.jpg,Trevor Gannicott,,122%,,,c1,21,
Soul Crypt,Ghost,,Emplacement,Structure,"Whenever you draw a card during your turn, you may spend 1(P) to put it into play facedown as a 2/2 Shade crew. Use only once each turn.

When this structure breaks, search your Hold for a Curse, reveal it, and put it into your hand.",0.8,,,,,2,,,,,,SGI_60.png,REXARD,,,,,c1,22,
